adduser	3.137ubuntu1
dbus-user-session	1.14.10-4ubuntu4.1
dconf-gsettings-backend	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
default-jdk	2:1.21-75+exp1
default-jdk-headless	2:1.21-75+exp1
default-jre	2:1.21-75+exp1
default-jre-headless	2:1.21-75+exp1
default-libmysqlclient-dev	1.1.0build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
distro-info	1.7build1
distro-info-data	0.60ubuntu0.6
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq-base	2.90-2ubuntu0.4
docker-buildx-plugin	0.35.0-1~ubuntu.24.04~noble
docker-ce	5:29.6.1-1~ubuntu.24.04~noble
docker-ce-cli	5:29.6.1-1~ubuntu.24.04~noble
docker-ce-rootless-extras	5:29.6.1-1~ubuntu.24.04~noble
docker-compose-plugin	5.3.1-1~ubuntu.24.04~noble
docutils-common	0.20.1+dfsg-3
dosfstools	4.2-1.1build1
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
dracut-install	060+5-1ubuntu3.3
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
efibootmgr	18-1build2
eject	2.39.3-9ubuntu6.5
eslint	6.4.0~dfsg+~6.1.9-11build3
ethtool	1:6.7-1build1
fail2ban	1.0.2-3ubuntu0.1
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.5
file	1:5.45-3build1
finalrd	9build1
findutils	4.9.0-5build1
firmware-sof-signed	2023.12.1-1ubuntu1.11
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-lyx	2.4.0~RC3-1build4
fonts-noto-mono	20201225-2
fonts-open-sans	1.11-2
fonts-ubuntu-console	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
freeglut3-dev	3.4.0-1build1
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fwupd	2.0.20-1ubuntu2~24.04.2
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gawk	1:5.2.1-2ubuntu0.1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gdal-data	3.8.4+dfsg-3ubuntu3
gdal-plugins	3.8.4+dfsg-3ubuntu3
gdisk	1.0.10-1build1
gettext-base	0.21-14ubuntu2
gfortran-13	13.3.0-6ubuntu2~24.04.1
gfortran-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-girepository-2.0	1.80.1-1
gir1.2-glib-2.0	2.80.0-6ubuntu3.8
gir1.2-ibus-1.0	1.5.29-2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5
git	1:2.43.0-1ubuntu7.3
git-lfs	3.4.1-1ubuntu0.4
git-man	1:2.43.0-1ubuntu7.3
glib-networking	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
glslang-dev	15.1.0-2~ubuntu0.24.04.2
glslc	2023.8-1build1
gnupg	2.4.4-2ubuntu17.4
gnupg-l10n	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
google-mock	1.14.0-1
googletest	1.14.0-1
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpg-wks-client	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
graphicsmagick-libmagick-dev-compat	1.4+really1.3.42-1.1build3
graphviz	2.42.2-9ubuntu0.1
grep	3.11-4build1
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-efi-amd64	2.12-1ubuntu7.3
grub-efi-amd64-bin	2.12-1ubuntu7.3
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsettings-desktop-schemas	46.1-0ubuntu1
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gyp	0.1+20220404git9ecf45e-2
gz-harmonic	1.0.0-1~noble
gz-launch7-cli	7.1.2-1~noble
gz-plugin2-cli	2.0.4-1~noble
gz-sim8-cli	8.14.0-1~noble
gz-tools2	2.0.3-2~noble
gz-transport13-cli	13.5.0-1~noble
gzip	1.12-1ubuntu3.2
handlebars	3:4.7.7+~4.1.0-1
hdf5-helpers	1.10.10+repack-3.1ubuntu4
hdparm	9.65+ds-1build1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
htop	3.3.0-4build1
humanity-icon-theme	0.6.16
hwdata	0.379-1
hyfetch	1.4.11-1
ibverbs-providers	50.0-2ubuntu0.2
icu-devtools	74.2-1ubuntu3.1
ieee-data	20220827.1
imagemagick	8:6.9.12.98+dfsg1-5.2build2
imagemagick-6-common	8:6.9.12.98+dfsg1-5.2build2
imagemagick-6.q16	8:6.9.12.98+dfsg1-5.2build2
inetutils-telnet	2:2.5-3ubuntu4.2
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.8
initramfs-tools-bin	0.142ubuntu25.8
initramfs-tools-core	0.142ubuntu25.8
install-info	7.1-3build2
intel-microcode	3.20260210.0ubuntu0.24.04.1
iotop	0.6-42-ga14256a-0.2build1
iproute2	6.1.0-1ubuntu6.4
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
iucode-tool	2.3.1-3build1
java-common	0.75+exp1
javascript-common	11+nmu1
jp2a	1.1.1-2ubuntu2
jq	1.7.1-3ubuntu0.24.04.2
kbd	2.6.4-2ubuntu2
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.4
klibc-utils	2.0.13-4ubuntu0.2
kmod	31+20240202-2ubuntu7.2
kpartx	0.9.4-5ubuntu8.2
krb5-locales	1.20.1-6ubuntu2.7
krb5-multidev	1.20.1-6ubuntu2.7
landscape-common	24.02-0ubuntu5.7
less	590-2ubuntu2.1
libabsl-dev	20220623.1-3.1ubuntu3.2
libabsl20220623t64	20220623.1-3.1ubuntu3.2
libacl1	2.3.2-1build1.1
libaec-dev	1.1.2-1build1
libaec0	1.1.2-1build1
libaio1t64	0.3.113-6build1.1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-8build3
libalgorithm-merge-perl	0.08-5
libamd-comgr2	6.0+git20231212.4510c28+dfsg-3build2
libamd3	1:7.6.1+dfsg-1build1
libamdhip64-5	5.7.1-3
libann0	1.1.2+doc-9build1
libaom-dev	3.8.2-2ubuntu0.1
libaom3	3.8.2-2ubuntu0.1
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.7
libappstream5	1.0.2-1build6
libapt-pkg6.0t64	2.8.3
libarchive13t64	3.7.2-2ubuntu0.8
libargon2-1	0~20190702+dfsg-4build1
libarmadillo-dev	1:12.6.7+dfsg-1build2
libarmadillo12	1:12.6.7+dfsg-1build2
libarpack2-dev	3.9.1-1.1build2
libarpack2t64	3.9.1-1.1build2
libasan8	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.3
libasound2-dev	1.2.11-1ubuntu0.3
libasound2t64	1.2.11-1ubuntu0.3
libass9	1:0.17.1-2build1
libassimp-dev	5.3.1+ds-2build1
libassimp5	5.3.1+ds-2build1
libassuan0	2.5.6-1build1
libasyncns0	0.8-6build4
libatasmart4	0.19-5build3
libatk-bridge2.0-0t64	2.52.0-1build1
libatk1.0-0t64	2.52.0-1build1
libatm1t64	1:2.5.1-5.1build1
libatomic1	14.2.0-4ubuntu2~24.04.1
libatspi2.0-0t64	2.52.0-1build1
libattr1	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3	0.8-13ubuntu6.2
libavahi-common-data	0.8-13ubuntu6.2
libavahi-common3	0.8-13ubuntu6.2
libavc1394-0	0.5.4-5build3
libavcodec-dev	7:6.1.1-3ubuntu5
libavcodec60	7:6.1.1-3ubuntu5
libavdevice-dev	7:6.1.1-3ubuntu5
libavdevice60	7:6.1.1-3ubuntu5
libavfilter-dev	7:6.1.1-3ubuntu5
libavfilter9	7:6.1.1-3ubuntu5
libavformat-dev	7:6.1.1-3ubuntu5
libavformat60	7:6.1.1-3ubuntu5
libavif16	1.0.4-1ubuntu3
libavutil-dev	7:6.1.1-3ubuntu5
libavutil58	7:6.1.1-3ubuntu5
libbenchmark-dev	1.8.3-3
libbenchmark1.8.3	1.8.3-3
libbinutils	2.42-4ubuntu2.10
libblas-dev	3.12.0-3build1.1
libblas3	3.12.0-3build1.1
libblkid-dev	2.39.3-9ubuntu6.5
libblkid1	2.39.3-9ubuntu6.5
libblockdev-crypto3	3.1.1-1ubuntu0.1
libblockdev-fs3	3.1.1-1ubuntu0.1
libblockdev-loop3	3.1.1-1ubuntu0.1
libblockdev-mdraid3	3.1.1-1ubuntu0.1
libblockdev-nvme3	3.1.1-1ubuntu0.1
libblockdev-part3	3.1.1-1ubuntu0.1
libblockdev-swap3	3.1.1-1ubuntu0.1
libblockdev-utils3	3.1.1-1ubuntu0.1
libblockdev3	3.1.1-1ubuntu0.1
libblosc-dev	1.21.5+ds-1build1
libblosc1	1.21.5+ds-1build1
libbluetooth3	5.72-0ubuntu5.5
libbluray2	1:1.3.4-1build1
libboost-all-dev	1.83.0.1ubuntu2
libboost-atomic-dev	1.83.0.1ubuntu2
libboost-atomic1.83-dev	1.83.0-2.1ubuntu3.2
libboost-atomic1.83.0	1.83.0-2.1ubuntu3.2
libboost-chrono-dev	1.83.0.1ubuntu2
libboost-chrono1.83-dev	1.83.0-2.1ubuntu3.2
libboost-chrono1.83.0t64	1.83.0-2.1ubuntu3.2
libboost-container-dev	1.83.0.1ubuntu2
libboost-container1.83-dev	1.83.0-2.1ubuntu3.2
libboost-container1.83.0	1.83.0-2.1ubuntu3.2
libboost-context-dev	1.83.0.1ubuntu2
libboost-context1.83-dev	1.83.0-2.1ubuntu3.2
libboost-context1.83.0	1.83.0-2.1ubuntu3.2
libboost-coroutine-dev	1.83.0.1ubuntu2
libboost-coroutine1.83-dev	1.83.0-2.1ubuntu3.2
libboost-coroutine1.83.0	1.83.0-2.1ubuntu3.2
libboost-date-time-dev	1.83.0.1ubuntu2
libboost-date-time1.83-dev	1.83.0-2.1ubuntu3.2
libboost-date-time1.83.0	1.83.0-2.1ubuntu3.2
libboost-dev	1.83.0.1ubuntu2
libboost-exception-dev	1.83.0.1ubuntu2
libboost-exception1.83-dev	1.83.0-2.1ubuntu3.2
libboost-fiber-dev	1.83.0.1ubuntu2
libboost-fiber1.83-dev	1.83.0-2.1ubuntu3.2
libboost-fiber1.83.0	1.83.0-2.1ubuntu3.2
libboost-filesystem-dev	1.83.0.1ubuntu2
libboost-filesystem1.83-dev	1.83.0-2.1ubuntu3.2
libboost-filesystem1.83.0	1.83.0-2.1ubuntu3.2
libboost-graph-dev	1.83.0.1ubuntu2
libboost-graph-parallel-dev	1.83.0.1ubuntu2
libboost-graph-parallel1.83-dev	1.83.0-2.1ubuntu3.2
libboost-graph-parallel1.83.0	1.83.0-2.1ubuntu3.2
libboost-graph1.83-dev	1.83.0-2.1ubuntu3.2
libboost-graph1.83.0	1.83.0-2.1ubuntu3.2
libboost-iostreams-dev	1.83.0.1ubuntu2
libboost-iostreams1.83-dev	1.83.0-2.1ubuntu3.2
libboost-iostreams1.83.0	1.83.0-2.1ubuntu3.2
libboost-json-dev	1.83.0.1ubuntu2
libboost-json1.83-dev	1.83.0-2.1ubuntu3.2
libboost-json1.83.0	1.83.0-2.1ubuntu3.2
libboost-locale-dev	1.83.0.1ubuntu2
libboost-locale1.83-dev	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0	1.83.0-2.1ubuntu3.2
libboost-log-dev	1.83.0.1ubuntu2
libboost-log1.83-dev	1.83.0-2.1ubuntu3.2
libboost-log1.83.0	1.83.0-2.1ubuntu3.2
libboost-math-dev	1.83.0.1ubuntu2
libboost-math1.83-dev	1.83.0-2.1ubuntu3.2
libboost-math1.83.0	1.83.0-2.1ubuntu3.2
libboost-mpi-dev	1.83.0.1ubuntu2
libboost-mpi-python-dev	1.83.0.1ubuntu2
libboost-mpi-python1.83-dev	1.83.0-2.1ubuntu3.2
libboost-mpi-python1.83.0	1.83.0-2.1ubuntu3.2
libboost-mpi1.83-dev	1.83.0-2.1ubuntu3.2
libboost-mpi1.83.0	1.83.0-2.1ubuntu3.2
libboost-nowide-dev	1.83.0.1ubuntu2
libboost-nowide1.83-dev	1.83.0-2.1ubuntu3.2
libboost-nowide1.83.0	1.83.0-2.1ubuntu3.2
libboost-numpy-dev	1.83.0.1ubuntu2
libboost-numpy1.83-dev	1.83.0-2.1ubuntu3.2
libboost-numpy1.83.0	1.83.0-2.1ubuntu3.2
libboost-program-options-dev	1.83.0.1ubuntu2
libboost-program-options1.83-dev	1.83.0-2.1ubuntu3.2
libboost-program-options1.83.0	1.83.0-2.1ubuntu3.2
libboost-python-dev	1.83.0.1ubuntu2
libboost-python1.83-dev	1.83.0-2.1ubuntu3.2
libboost-python1.83.0	1.83.0-2.1ubuntu3.2
libboost-random-dev	1.83.0.1ubuntu2
libboost-random1.83-dev	1.83.0-2.1ubuntu3.2
libboost-random1.83.0	1.83.0-2.1ubuntu3.2
libboost-regex-dev	1.83.0.1ubuntu2
libboost-regex1.83-dev	1.83.0-2.1ubuntu3.2
libboost-regex1.83.0	1.83.0-2.1ubuntu3.2
libboost-serialization-dev	1.83.0.1ubuntu2
libboost-serialization1.83-dev	1.83.0-2.1ubuntu3.2
libboost-serialization1.83.0	1.83.0-2.1ubuntu3.2
libboost-stacktrace-dev	1.83.0.1ubuntu2
libboost-stacktrace1.83-dev	1.83.0-2.1ubuntu3.2
libboost-stacktrace1.83.0	1.83.0-2.1ubuntu3.2
libboost-system-dev	1.83.0.1ubuntu2
libboost-system1.83-dev	1.83.0-2.1ubuntu3.2
libboost-system1.83.0	1.83.0-2.1ubuntu3.2
libboost-test-dev	1.83.0.1ubuntu2
libboost-test1.83-dev	1.83.0-2.1ubuntu3.2
libboost-test1.83.0	1.83.0-2.1ubuntu3.2
libboost-thread-dev	1.83.0.1ubuntu2
libboost-thread1.83-dev	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0	1.83.0-2.1ubuntu3.2
libboost-timer-dev	1.83.0.1ubuntu2
libboost-timer1.83-dev	1.83.0-2.1ubuntu3.2
libboost-timer1.83.0	1.83.0-2.1ubuntu3.2
libboost-tools-dev	1.83.0.1ubuntu2
libboost-type-erasure-dev	1.83.0.1ubuntu2
libboost-type-erasure1.83-dev	1.83.0-2.1ubuntu3.2
libboost-type-erasure1.83.0	1.83.0-2.1ubuntu3.2
libboost-url-dev	1.83.0.1ubuntu2
libboost-url1.83-dev	1.83.0-2.1ubuntu3.2
libboost-url1.83.0	1.83.0-2.1ubuntu3.2
libboost-wave-dev	1.83.0.1ubuntu2
libboost-wave1.83-dev	1.83.0-2.1ubuntu3.2
libboost-wave1.83.0	1.83.0-2.1ubuntu3.2
libboost1.83-dev	1.83.0-2.1ubuntu3.2
libboost1.83-tools-dev	1.83.0-2.1ubuntu3.2
libbpf1	1:1.3.0-2build2
libbpfcc	0.29.1+ds-1ubuntu7
libbrotli-dev	1.1.0-2build2
libbrotli1	1.1.0-2build2
libbs2b0	3.1.0+dfsg-7build1
libbsd-dev	0.12.1-1build1.1
libbsd0	0.12.1-1build1.1
libbtf2	1:7.6.1+dfsg-1build1
libbullet-dev	3.24+dfsg-2.1build1
libbullet3.24t64	3.24+dfsg-2.1build1
libbytesize-common	2.10-1ubuntu2
libbytesize1	2.10-1ubuntu2
libbz2-1.0	1.0.8-5.1build0.1
libbz2-dev	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.7
libc-dev-bin	2.39-0ubuntu8.7
libc-devtools	2.39-0ubuntu8.7
libc6	2.39-0ubuntu8.7
libc6-dev	2.39-0ubuntu8.7
libcaca0	0.99.beta20-4ubuntu0.2
libcairo-gobject2	1.18.0-3build1
libcairo-script-interpreter2	1.18.0-3build1
libcairo2	1.18.0-3build1
libcairo2-dev	1.18.0-3build1
libcamd3	1:7.6.1+dfsg-1build1
libcap-dev	1:2.66-5ubuntu2.4
libcap-ng0	0.8.4-2build2
libcap2	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4
libcares2	1.27.0-1.0ubuntu1
libcbor0.10	0.10.2-1.2ubuntu2
libcc1-0	14.2.0-4ubuntu2~24.04.1
libccd-dev	2.1-2
libccd2	2.1-2
libccolamd3	1:7.6.1+dfsg-1build1
libcdio-cdda2t64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64	10.2+2.0.1-1.1build2
libcdio19t64	2.1.0-4.1ubuntu1.2
libcdt5	2.42.2-9ubuntu0.1
libceres-dev	2.2.0+dfsg-4.1ubuntu2
libceres4t64	2.2.0+dfsg-4.1ubuntu2
libcfitsio-dev	4.3.1-1.1build2
libcfitsio10t64	4.3.1-1.1build2
libcgraph6	2.42.2-9ubuntu0.1
libchafa0t64	1.14.0-1.1build1
libcharls2	2.4.2-2build2
libcholmod5	1:7.6.1+dfsg-1build1
libchromaprint1	1.5.1-5
libcjson1	1.7.17-1
libclang-cpp18	1:18.1.3-1ubuntu1
libclang1-15t64	1:15.0.7-14build3
libclang1-18	1:18.1.3-1ubuntu1
libcli11-dev	2.4.1+ds-1
libclone-perl	0.46-1build3
libcodec2-1.2	1.2.0-2build1
libcolamd3	1:7.6.1+dfsg-1build1
libcolord2	1.4.7-1build2
libcom-err2	1.47.0-2.4~exp1ubuntu4.1
libconsole-bridge-dev	1.0.1+dfsg2-3build1
libconsole-bridge1.0	1.0.1+dfsg2-3build1
libcrack2	2.9.6-5.1build2
libcrypt-dev	1:4.4.36-4build1
libcrypt1	1:4.4.36-4build1
libcryptsetup12	2:2.7.0-1ubuntu4.2
libctf-nobfd0	2.42-4ubuntu2.10
libctf0	2.42-4ubuntu2.10
libcups2t64	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls	8.5.0-2ubuntu10.11
libcurl4-openssl-dev	8.5.0-2ubuntu10.11
libcurl4t64	8.5.0-2ubuntu10.11
libcxsparse4	1:7.6.1+dfsg-1build1
libdart-core+collisions+odelcpsolver6.13	6.13.2+ds1-1~osrf2~noble
libdata-dump-perl	1.25-1
libdatrie1	0.2.13-3build1
libdav1d-dev	1.4.1-1build1
libdav1d7	1.4.1-1build1
libdb5.3t64	5.3.28+dfsg2-7
libdbus-1-3	1.14.10-4ubuntu4.1
libdbus-1-dev	1.14.10-4ubuntu4.1
libdbus-glib-1-2	0.112-3build2
libdc1394-25	2.2.6-4build1
libdc1394-dev	2.2.6-4build1
libdconf1	0.40.0-4ubuntu0.1
libde265-0	1.0.15-1ubuntu0.1
libde265-dev	1.0.15-1ubuntu0.1
libdebconfclient0	0.271ubuntu3
libdecor-0-0	0.2.2-1build2
libdecor-0-dev	0.2.2-1build2
libdecor-0-plugin-1-gtk	0.2.2-1build2
libdeflate-dev	1.19-1build1.1
libdeflate0	1.19-1build1.1
libdevmapper-event1.02.1	2:1.02.185-3ubuntu3.2
libdevmapper1.02.1	2:1.02.185-3ubuntu3.2
libdjvulibre-text	3.5.28-2ubuntu0.24.04.2
libdjvulibre21	3.5.28-2ubuntu0.24.04.2
libdouble-conversion-dev	3.3.0-1build1
libdouble-conversion3	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.6
libdraco8	1.5.6+dfsg-3build1
libdrm-amdgpu1	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-dev	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1	2.4.125-1ubuntu0.1~24.04.2
libdrm-nouveau2	2.4.125-1ubuntu0.1~24.04.2
libdrm-radeon1	2.4.125-1ubuntu0.1~24.04.2
libdrm2	2.4.125-1ubuntu0.1~24.04.2
libduktape207	2.7.0+tests-0ubuntu3
libdw-dev	0.190-1.1ubuntu0.1
libdw1t64	0.190-1.1ubuntu0.1
libeatmydata1	131-1ubuntu1
libedit2	3.1-20230828-1build1
libefiboot1t64	38-3.1build1
libefivar1t64	38-3.1build1
libegl-dev	1.7.0-1build1
libegl-mesa0	25.2.8-0ubuntu0.24.04.2
libegl1	1.7.0-1build1
libeigen3-dev	3.4.0-4build0.1
libelf-dev	0.190-1.1ubuntu0.1
libelf1t64	0.190-1.1ubuntu0.1
libencode-locale-perl	1.05-3
libepoxy0	1.5.10-1build1
liberror-perl	0.17029-2
libestr0	0.1.11-1build1
libev-dev	1:4.33-2.1build1
libev4t64	1:4.33-2.1build1
libevdev2	1.13.1+dfsg-1build1
libevent-2.1-7t64	2.1.12-stable-9ubuntu2
libevent-core-2.1-7t64	2.1.12-stable-9ubuntu2
libevent-dev	2.1.12-stable-9ubuntu2
libevent-extra-2.1-7t64	2.1.12-stable-9ubuntu2
libevent-openssl-2.1-7t64	2.1.12-stable-9ubuntu2
libevent-pthreads-2.1-7t64	2.1.12-stable-9ubuntu2
libexif-dev	0.6.24-1ubuntu0.24.04.1
libexif12	0.6.24-1ubuntu0.24.04.1
libexpat1	2.6.1-2ubuntu0.4
libexpat1-dev	2.6.1-2ubuntu0.4
libexpected-dev	1.1.0-2
libext2fs2t64	1.47.0-2.4~exp1ubuntu4.1
libfabric1	1.17.0-3build2
libfakeroot	1.33-1
libfastjson4	1.2304.0-1build1
libfcl-dev	0.7.0-3build2
libfcl0.7	0.7.0-3build2
libfdisk1	2.39.3-9ubuntu6.5
libffi-dev	3.4.6-1build1
libffi8	3.4.6-1build1
libfftw3-double3	3.3.10-1ubuntu3
libfido2-1	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libflac12t64	1.4.3+ds-2.1ubuntu2
libflann-dev	1.9.2+dfsg-2build1
libflann1.9	1.9.2+dfsg-2build1
libflashrom1	1.3.0-2.1ubuntu2
libflite1	2.2-6build3
libfmt-dev	9.1.0+ds1-2
libfmt9	9.1.0+ds1-2
libfont-afm-perl	1.20-4
libfontconfig-dev	2.15.0-1.1ubuntu2
libfontconfig1	2.15.0-1.1ubuntu2
libfontconfig1-dev	2.15.0-1.1ubuntu2
libfontenc1	1:1.1.8-1build1
libfreeimage-dev	3.18.0+ds2-10build4
libfreeimage3	3.18.0+ds2-10build4
libfreetype-dev	2.13.2+dfsg-1ubuntu0.1
libfreetype6	2.13.2+dfsg-1ubuntu0.1
libfreexl-dev	2.0.0-1build2
libfreexl1	2.0.0-1build2
libfribidi0	1.0.13-3build1
libftdi1-2	1.5-6build5
libfuse3-3	3.14.0-5build1
libfwupd2	1.9.34-0ubuntu1~24.04.1
libfwupd3	2.0.20-1ubuntu2~24.04.2
libfyba-dev	4.1.1-11build1
libfyba0t64	4.1.1-11build1
libgav1-1	0.18.0-1build3
libgbm-dev	25.2.8-0ubuntu0.24.04.2
libgbm1	25.2.8-0ubuntu0.24.04.2
libgc1	1:8.2.6-1build1
libgcc-13-dev	13.3.0-6ubuntu2~24.04.1
